Financial.Year,Cat,Hours.Respondent,Gross.Respondent,Hours.Partner,Gross.Partner
2023-24,23+,0,0,0,0
2023-24,23+,1,10.42,1,10.42
2023-24,23+,2,20.84,2,20.84
2023-24,23+,3,31.26,3,31.26
2023-24,23+,4,41.68,4,41.68
2023-24,23+,5,52.1,5,52.1
2023-24,23+,6,62.52,6,62.52
2023-24,23+,7,72.94,7,72.94
2023-24,23+,8,83.36,8,83.36
2023-24,23+,9,93.78,9,93.78
2023-24,23+,10,104.2,10,104.2
2023-24,23+,11,114.62,11,114.62
2023-24,23+,12,125.04,12,125.04
2023-24,23+,13,135.46,13,135.46
2023-24,23+,14,145.88,14,145.88
2023-24,23+,15,156.3,15,156.3
2023-24,23+,16,166.72,16,166.72
2023-24,23+,17,177.14,17,177.14
2023-24,23+,18,187.56,18,187.56
2023-24,23+,19,197.98,19,197.98
2023-24,23+,20,208.4,20,208.4
2023-24,23+,21,218.82,21,218.82
2023-24,23+,22,229.24,22,229.24
2023-24,23+,23,239.66,23,239.66
2023-24,23+,24,250.08,24,250.08
2023-24,23+,25,260.5,25,260.5
2023-24,23+,26,270.92,26,270.92
2023-24,23+,27,281.34,27,281.34
2023-24,23+,28,291.76,28,291.76
2023-24,23+,29,302.18,29,302.18
2023-24,23+,30,312.6,30,312.6
2023-24,23+,31,323.02,31,323.02
2023-24,23+,32,333.44,32,333.44
2023-24,23+,33,343.86,33,343.86
2023-24,23+,34,354.28,34,354.28
2023-24,23+,35,364.7,35,364.7
2023-24,23+,36,375.12,36,375.12
2023-24,23+,37,385.54,37,385.54
2023-24,23+,38,395.96,38,395.96
2023-24,23+,39,406.38,39,406.38
2023-24,23+,40,416.8,40,416.8
2023-24,23+,41,427.22,41,427.22
2023-24,23+,42,437.64,42,437.64
2023-24,23+,43,448.06,43,448.06
2023-24,23+,44,458.48,44,458.48
2023-24,23+,45,468.9,45,468.9
2023-24,23+,46,479.32,46,479.32
2023-24,23+,47,489.74,47,489.74
2023-24,23+,48,500.16,48,500.16
2023-24,23+,49,510.58,49,510.58
2023-24,23+,50,521,50,521
2023-24,23+,51,531.42,51,531.42
2023-24,23+,52,541.84,52,541.84
2023-24,23+,53,552.26,53,552.26
2023-24,23+,54,562.68,54,562.68
2023-24,23+,55,573.1,55,573.1
2023-24,23+,56,583.52,56,583.52
2023-24,23+,57,593.94,57,593.94
2023-24,23+,58,604.36,58,604.36
2023-24,23+,59,614.78,59,614.78
2023-24,23+,60,625.2,60,625.2
2023-24,23+,61,635.62,61,635.62
2023-24,23+,62,646.04,62,646.04
2023-24,23+,63,656.46,63,656.46
2023-24,23+,64,666.88,64,666.88
2023-24,23+,65,677.3,65,677.3
2023-24,23+,66,687.72,66,687.72
2023-24,23+,67,698.14,67,698.14
2023-24,23+,68,708.56,68,708.56
2023-24,23+,69,718.98,69,718.98
2023-24,23+,70,729.4,70,729.4
2023-24,23+,71,739.82,71,739.82
2023-24,23+,72,750.24,72,750.24
2023-24,23+,73,760.66,73,760.66
2023-24,23+,74,771.08,74,771.08
2023-24,23+,75,781.5,75,781.5
2023-24,23+,76,791.92,76,791.92
2023-24,23+,77,802.34,77,802.34
2023-24,23+,78,812.76,78,812.76
2023-24,23+,79,823.18,79,823.18
2023-24,23+,80,833.6,80,833.6
2023-24,23+,81,844.02,81,844.02
2023-24,23+,82,854.44,82,854.44
2023-24,23+,83,864.86,83,864.86
2023-24,23+,84,875.28,84,875.28
2023-24,23+,85,885.7,85,885.7
2023-24,23+,86,896.12,86,896.12
2023-24,23+,87,906.54,87,906.54
2023-24,23+,88,916.96,88,916.96
2023-24,23+,89,927.38,89,927.38
2023-24,23+,90,937.8,90,937.8
2023-24,23+,91,948.22,91,948.22
2023-24,23+,92,958.64,92,958.64
2023-24,23+,93,969.06,93,969.06
2023-24,23+,94,979.48,94,979.48
2023-24,23+,95,989.9,95,989.9
2023-24,23+,96,1000.32,96,1000.32
2023-24,23+,97,1010.74,97,1010.74
2023-24,21-22,0,0,0,0
2023-24,21-22,1,10.18,1,10.18
2023-24,21-22,2,20.36,2,20.36
2023-24,21-22,3,30.54,3,30.54
2023-24,21-22,4,40.72,4,40.72
2023-24,21-22,5,50.9,5,50.9
2023-24,21-22,6,61.08,6,61.08
2023-24,21-22,7,71.26,7,71.26
2023-24,21-22,8,81.44,8,81.44
2023-24,21-22,9,91.62,9,91.62
2023-24,21-22,10,101.8,10,101.8
2023-24,21-22,11,111.98,11,111.98
2023-24,21-22,12,122.16,12,122.16
2023-24,21-22,13,132.34,13,132.34
2023-24,21-22,14,142.52,14,142.52
2023-24,21-22,15,152.7,15,152.7
2023-24,21-22,16,162.88,16,162.88
2023-24,21-22,17,173.06,17,173.06
2023-24,21-22,18,183.24,18,183.24
2023-24,21-22,19,193.42,19,193.42
2023-24,21-22,20,203.6,20,203.6
2023-24,21-22,21,213.78,21,213.78
2023-24,21-22,22,223.96,22,223.96
2023-24,21-22,23,234.14,23,234.14
2023-24,21-22,24,244.32,24,244.32
2023-24,21-22,25,254.5,25,254.5
2023-24,21-22,26,264.68,26,264.68
2023-24,21-22,27,274.86,27,274.86
2023-24,21-22,28,285.04,28,285.04
2023-24,21-22,29,295.22,29,295.22
2023-24,21-22,30,305.4,30,305.4
2023-24,21-22,31,315.58,31,315.58
2023-24,21-22,32,325.76,32,325.76
2023-24,21-22,33,335.94,33,335.94
2023-24,21-22,34,346.12,34,346.12
2023-24,21-22,35,356.3,35,356.3
2023-24,21-22,36,366.48,36,366.48
2023-24,21-22,37,376.66,37,376.66
2023-24,21-22,38,386.84,38,386.84
2023-24,21-22,39,397.02,39,397.02
2023-24,21-22,40,407.2,40,407.2
2023-24,21-22,41,417.38,41,417.38
2023-24,21-22,42,427.56,42,427.56
2023-24,21-22,43,437.74,43,437.74
2023-24,21-22,44,447.92,44,447.92
2023-24,21-22,45,458.1,45,458.1
2023-24,21-22,46,468.28,46,468.28
2023-24,21-22,47,478.46,47,478.46
2023-24,21-22,48,488.64,48,488.64
2023-24,21-22,49,498.82,49,498.82
2023-24,21-22,50,509,50,509
2023-24,21-22,51,519.18,51,519.18
2023-24,21-22,52,529.36,52,529.36
2023-24,21-22,53,539.54,53,539.54
2023-24,21-22,54,549.72,54,549.72
2023-24,21-22,55,559.9,55,559.9
2023-24,21-22,56,570.08,56,570.08
2023-24,21-22,57,580.26,57,580.26
2023-24,21-22,58,590.44,58,590.44
2023-24,21-22,59,600.62,59,600.62
2023-24,21-22,60,610.8,60,610.8
2023-24,21-22,61,620.98,61,620.98
2023-24,21-22,62,631.16,62,631.16
2023-24,21-22,63,641.34,63,641.34
2023-24,21-22,64,651.52,64,651.52
2023-24,21-22,65,661.7,65,661.7
2023-24,21-22,66,671.88,66,671.88
2023-24,21-22,67,682.06,67,682.06
2023-24,21-22,68,692.24,68,692.24
2023-24,21-22,69,702.42,69,702.42
2023-24,21-22,70,712.6,70,712.6
2023-24,21-22,71,722.78,71,722.78
2023-24,21-22,72,732.96,72,732.96
2023-24,21-22,73,743.14,73,743.14
2023-24,21-22,74,753.32,74,753.32
2023-24,21-22,75,763.5,75,763.5
2023-24,21-22,76,773.68,76,773.68
2023-24,21-22,77,783.86,77,783.86
2023-24,21-22,78,794.04,78,794.04
2023-24,21-22,79,804.22,79,804.22
