Sample.Month,food.alcohol.inflation.22,personal.cost.inflation.22,housing.inflation.22,utilities.inflation.22,health.inflation.22,transport.inflation.22,coms.mobile.phone.inflaiton.22,leisure.inflation.22,others.inflation.22,council.tax.inflation.22,mortgage.inflation.22,rent.inflation.22,water.inflation.22,insurance.inflation.22,food.alcohol.inflation.23,personal.cost.inflation.23,housing.inflation.23,utilities.inflation.23,health.inflation.23,transport.inflation.23,coms.mobile.phone.inflaiton.23,leisure.inflation.23,others.inflation.23,council.tax.inflation.23,mortgage.inflation.23,rent.inflation.23,water.inflation.23,insurance.inflation.23,food.alcohol.inflation.24,personal.cost.inflation.24,housing.inflation.24,utilities.inflation.24,health.inflation.24,transport.inflation.24,coms.mobile.phone.inflaiton.24,leisure.inflation.24,others.inflation.24,council.tax.inflation.24,mortgage.inflation.24,rent.inflation.24,water.inflation.24,insurance.inflation.24,wages.inflation.22,self.emp.inflation.22,invest.inflation.22,annuties.inflation.22,benefit.inflation.22,other.income.inflation.22,wages.inflation.23,self.emp.inflation.23,invest.inflation.23,annuties.inflation.23,benefit.inflation.23,other.income.inflation.23,wages.inflation.24,self.emp.inflation.24,invest.inflation.24,annuties.inflation.24,benefit.inflation.24,other.income.inflation.24
April,1.009,1.001,1.016,1.074,1.015,1.048,1.028,1.007,1.005,1.04,1.005,1.015,1.017,0.938,1.055,1.083,1.067,1.696,1.023,1.135,1.028,1.059,1.029,1.035,1.026,1.029,1.038,1.117,1.141,1.068,1.059,1.243,1.07,1.015,1.079,1.063,1.068,1.051,1.0478,1.055,1.0841,1.179,1.089,1.089,1.005,1.005,1.005,1.005,1.049,1.049,1.026,1.026,1.031,1.026,1.078,1.078,1.0478,1.0478,1.101,1.0478
May,1.002,1.021,1.015,1.094,1.027,1.063,1.022,1.02,1.009,1.04,1.005,1.015,1.017,0.946,1.068,1.07,1.066,1.699,1.018,1.138,1.028,1.05,1.029,1.035,1.026,1.03,1.038,1.119,1.138,1.071,1.055,1.237,1.083,1.012,1.091,1.067,1.068,1.051,1.0478,1.056,1.0841,1.185,1.092,1.092,1.005,1.005,1.005,1.005,1.043,1.043,1.026,1.026,1.031,1.026,1.081,1.081,1.0478,1.0478,1.101,1.0478
June,1.009,1.03,1.022,1.103,1.016,1.072,1.024,1.021,1.011,1.04,1.005,1.016,1.017,0.952,1.072,1.062,1.063,1.702,1.017,1.149,1.029,1.048,1.032,1.035,1.026,1.032,1.038,1.117,1.133,1.072,1.051,1.233,1.082,0.982,1.095,1.067,1.065,1.051,1.0478,1.055,1.0841,1.21,1.085,1.085,1.005,1.005,1.005,1.005,1.062,1.062,1.026,1.026,1.031,1.026,1.093,1.093,1.0478,1.0478,1.101,1.0478
July,1.005,1.017,1.027,1.093,1.008,1.077,1.014,1.007,1.009,1.04,1.005,1.014,1.017,0.966,1.09,1.067,1.062,1.703,1.014,1.148,1.032,1.056,1.04,1.035,1.026,1.038,1.038,1.136,1.121,1.066,1.051,1.045,1.089,0.98,1.071,1.065,1.06,1.051,1.0478,1.065,1.0841,1.219,1.074,1.074,1.005,1.005,1.005,1.005,1.059,1.059,1.026,1.026,1.031,1.026,1.08,1.08,1.0478,1.0478,1.101,1.0478
August,1.014,1.013,1.027,1.094,1.013,1.078,1.011,1.024,1.01,1.04,1.005,1.014,1.017,0.977,1.093,1.076,1.062,1.697,1.026,1.12,1.028,1.053,1.046,1.035,1.026,1.04,1.038,1.138,1.12,1.07,1.047,1.053,1.085,0.995,1.082,1.058,1.056,1.051,1.0478,1.064,1.0841,1.218,1.058,1.058,1.005,1.005,1.005,1.005,1.06,1.06,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
September,1.018,1.006,1.032,1.095,1.013,1.084,1.015,1.027,1.01,1.04,1.005,1.015,1.017,0.978,1.1,1.085,1.064,1.701,1.035,1.106,1.024,1.052,1.05,1.035,1.026,1.042,1.038,1.155,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.05,1.05,1.005,1.005,1.005,1.005,1.061,1.061,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
October,1.016,0.996,1.039,1.223,1.012,1.099,1.014,1.025,1.013,1.04,1.005,1.018,1.017,0.976,1.112,1.085,1.057,1.897,1.042,1.089,1.032,1.058,1.051,1.035,1.026,1.043,1.038,1.174,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.044,1.044,1.005,1.005,1.005,1.005,1.065,1.065,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
November,1.036,1.035,1.04,1.255,1.014,1.125,1.012,1.033,1.015,1.04,1.005,1.019,1.017,0.981,1.102,1.075,1.058,1.89,1.048,1.072,1.026,1.053,1.054,1.035,1.026,1.045,1.038,1.205,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.033,1.033,1.005,1.005,1.005,1.005,1.072,1.072,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
December,1.04,1.042,1.04,1.245,1.022,1.119,1.007,1.03,1.017,1.04,1.005,1.02,1.017,1.019,1.102,1.065,1.061,1.887,1.051,1.065,1.02,1.049,1.054,1.035,1.026,1.046,1.038,1.167,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.058,1.058,1.005,1.005,1.005,1.005,1.048,1.048,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
January,1.038,1.063,1.042,1.233,1.022,1.113,1.011,1.029,1.017,1.04,1.005,1.023,1.017,1.089,1.109,1.062,1.056,1.895,1.063,1.031,1.024,1.05,1.058,1.035,1.026,1.046,1.038,1.136,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.051,1.051,1.005,1.005,1.005,1.005,1.06,1.06,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
February,1.043,1.089,1.041,1.228,1.026,1.115,1.011,1.047,1.019,1.04,1.005,1.023,1.017,1.093,1.118,1.081,1.055,1.886,1.068,1.029,1.037,1.04,1.066,1.035,1.026,1.047,1.038,1.159,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.058,1.058,1.005,1.005,1.005,1.005,1.067,1.067,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
March,1.053,1.098,1.046,1.276,1.025,1.134,1.007,1.049,1.019,1.04,1.04,1.024,1.017,1.091,1.122,1.072,1.052,1.856,1.071,1.008,1.037,1.046,1.067,1.035,1.026,1.048,1.038,1.177,1.116,1.069,1.041,1.05,1.082,1.007,1.081,1.06,1.053,1.051,1.0478,1.064,1.038,1.213,1.101,1.101,1.005,1.005,1.005,1.005,1.059,1.059,1.026,1.026,1.031,1.026,1.068,1.068,1.0478,1.0478,1.101,1.0478
