"","Financial.Year","Demographic.Derived.Household.Type.LCFS","Expenditure.Housing_mean_ratio","Expenditure.Housing_median_ratio","Expenditure.Utilities.MART_mean_ratio","Expenditure.Utilities.MART_median_ratio","Expenditure.Food.House.Keeping.MART_mean_ratio","Expenditure.Food.House.Keeping.MART_median_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"1","2020-21","Adults only",0.144998968363233,0.0835919503190986,0.0189061160374955,0.016961577919525,0.066658429950493,0.0557283744521097,NA,NA,NA,NA,NA
"2","2020-21","Couple",0.111870289660621,0.0624251108150457,0.0382659886063912,0.033549766605457,0.131949049909122,0.117236313363107,NA,NA,NA,NA,NA
"3","2020-21","Couple With Dependent Children",0.334961154213975,0.308614864864865,0.0374543125679621,0.031935589464449,0.153484460172711,0.130985748290435,NA,NA,NA,NA,NA
"4","2020-21","Other",0.114333580211223,0.0435078125172645,0.0231519813916482,0.0199917900382243,0.0608175315735035,0.053860881131482,NA,NA,NA,NA,NA
"5","2020-21","Other adults and Dependent children",0.231323339682005,0.197201885170584,0.0309514948456834,0.0261114300293405,0.127440335879342,0.100874284145643,NA,NA,NA,NA,NA
"6","2020-21","Single Person",0.206136482092877,0.0984245854681318,0.0723566901196344,0.0600900236849276,0.220119973570643,0.181799841892783,NA,NA,NA,NA,NA
"7","2020-21","Single Person With Dependent Children",0.374208297854738,0.336803412841083,0.0738129512703558,0.0617330806898992,0.254812539192696,0.22364268543956,NA,NA,NA,NA,NA
"8","2021-22","Adults only",0.143966337694134,0.0885400009251295,0.019881715466189,0.0162002813223635,0.0636577092196397,0.0551930124905584,NA,NA,NA,NA,NA
"9","2021-22","Couple",0.128691357318611,0.0663169644507374,0.0513423536156275,0.042290287552898,0.134793163026467,0.114337545849738,NA,NA,NA,NA,NA
"10","2021-22","Couple With Dependent Children",0.329719577428671,0.30724224637884,0.050451804615202,0.0427033510319306,0.148682927352464,0.126111296037712,NA,NA,NA,NA,NA
"11","2021-22","Other",0.236924312568049,0.170441682357553,0.0427426650552964,0.0477841126532755,0.0877715849345587,0.0921851101306991,NA,NA,NA,NA,NA
